Date,Monthly Return,Monthly Close,Dividend,Dividend Yield,Total Return,Cumulative Return
2011-11,0.0164709170272907,7.0274,0.0,0.0,0.0164709170272907,1.0164709170272908
2011-12,0.0100306605306701,7.0979,0.0,0.0,0.0100306605306701,1.0266667917352905
2012-01,0.0164248840520349,7.2145,0.0,0.0,0.0164248840520349,1.0435296747496174
2012-02,0.0285603983283091,7.4205,0.0,0.0,0.0285603983283091,1.0733332979278774
2012-03,0.0189991675205123,7.5615,0.046,0.006083449051114197,0.025082616571626498,1.1002553054933617
2012-04,-0.0010757611692909,7.5534,0.0,0.0,-0.0010757611692909,1.0990716935594056
2012-05,-0.0380474794120153,7.266,0.0,0.0,-0.0380474794120153,1.0572547859263755
2012-06,0.0358209162876381,7.5263,0.069,0.009167851401086856,0.04498876768872496,1.1048193758782099
2012-07,0.0244957912569372,7.7106,0.0,0.0,0.0244957912569372,1.1318828006863422
2012-08,0.0059774927220077,7.7567,0.0,0.0,0.0059774927220077,1.1386486218896106
2012-09,0.0121075309416627,7.8506,0.069,0.008789137136015082,0.02089666807767778,1.162442584198343
2012-10,-0.0093910107522283,7.7769,0.0,0.0,-0.0093910107522283,1.1515260733912884
2012-11,0.004564505835098,7.8124,0.0,0.0,0.004564505835098,1.1567822208725504
2012-12,-0.0094373290342812,7.7387,0.086,0.011112977631901999,0.0016756485976207984,1.1587205813787083
2013-01,0.0553989648748043,8.1674,0.0,0.0,0.0553989648748043,1.2229125021662202
2013-02,0.0210633605605157,8.3394,0.0,0.0,0.0210633605605157,1.2486711491333098
2013-03,0.0409296035383146,8.6807,0.066,0.007603073484857213,0.048532677023171815,1.3092725027223495
2013-04,0.0298838406659509,8.9401,0.0,0.0,0.0298838406659509,1.348398593582015
2013-05,0.0140498202236596,9.0658,0.0,0.0,0.0140498202236596,1.367343351411678
2013-06,-0.0082319470531398,8.9911,0.075,0.008341582231317637,0.00010963517817783736,1.36749326034364
