Portfolio,Annualized Return,Annualized Volatility
Aggressive_1,0.07863807680127599,0.10418455358397963
Aggressive_2,0.07700401215304975,0.12113496433747048
Aggressive_3,0.08417909594685269,0.11711859590090004
Aggressive_4,0.07863807680127599,0.10418455358397963
Aggressive_5,0.07863807680127599,0.10418455358397963
Aggressive_6,0.08417909594685269,0.11711859590090004
Aggressive_7,0.07525018996966226,0.09787390223196929
Aggressive_8,0.07863807680127599,0.10418455358397963
Aggressive_9,0.08417909594685269,0.11711859590090004
Aggressive_10,0.07863807680127599,0.10418455358397963
Aggressive_11,0.07863807680127599,0.10418455358397963
Aggressive_12,0.06806111004113458,0.07967986258753011
Aggressive_13,0.07863807680127599,0.10418455358397963
Aggressive_14,0.06806111004113458,0.07967986258753011
Aggressive_15,0.07863807680127599,0.10418455358397963
Aggressive_16,0.06806111004113458,0.07967986258753011
Aggressive_17,0.08417909594685269,0.11711859590090004
Aggressive_18,0.07863807680127599,0.10418455358397963
Aggressive_19,0.07863807680127599,0.10418455358397963
Aggressive_20,0.07700401215304975,0.12113496433747048
