Portfolio,Sharpe Ratio,Sortino Ratio
1,0.5669401499545623,0.8198593143439246
2,0.5576788758534089,0.8041301181452215
3,0.5342690267851792,0.7639763955968916
4,0.5113131817624571,0.7258275095533472
5,0.4894536171636278,0.6905103760767389
6,0.46901048481871327,0.659310172880763
7,0.561307120191097,0.8059428511313816
8,0.5514151664815732,0.7826655115175613
9,0.5412921018473853,0.761139232589949
10,0.5312530942302774,0.7408250823885665
11,0.5214956224361701,0.7212846747242392
12,0.6025761228972142,0.9068554412439296
13,0.5907207695970721,0.8906145776800717
14,0.5744274724698881,0.8670350796338082
15,0.5535366066787271,0.8368231655927765
16,0.5281705126934347,0.8094812250455883
17,0.49875573938507123,0.7810030740551661
18,0.591371819103857,0.9155198797443321
19,0.5710187612637619,0.9073059257725592
20,0.5423425937049052,0.8802037560333819
21,0.5072094704709692,0.8431049565986801
22,0.4680320191654371,0.7984010102796726
