Portfolio ID,SPY,QQQ,TLT,GLD,SCHD
1,0.25,0.3,0,0.22,0.23
2,0.25,0.32,0,0.2,0.23
3,0.25,0.37,0,0.15,0.23
4,0.25,0.42,0,0.1,0.23
5,0.25,0.47,0,0.05,0.23
6,0.25,0.52,0,0,0.23
7,0.25,0.33,0,0.22,0.2
8,0.25,0.38,0,0.22,0.15
9,0.25,0.43,0,0.22,0.1
10,0.25,0.48,0,0.22,0.05
11,0.25,0.53,0,0.22,0
12,0.25,0,0.22,0.25,0.28
13,0.2,0,0.22,0.25,0.33
14,0.15,0,0.22,0.25,0.38
15,0.1,0,0.22,0.25,0.43
16,0.05,0,0.22,0.25,0.48
17,0,0,0.22,0.25,0.53
18,0.2,0,0.24,0.28,0.28
19,0.15,0,0.26,0.31,0.28
20,0.1,0,0.28,0.34,0.28
21,0.05,0,0.3,0.37,0.28
22,0,0,0.32,0.4,0.28
