Portfolio,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio
Aggressive_1,0.07863807680127599,0.10418455358397963,0.5844815112470904,0.8393817372452107
Aggressive_2,0.07700401215304975,0.12113496433747048,0.5058144773693983,0.7076736450558148
Aggressive_3,0.08417909594685269,0.11711859590090004,0.5768501214036016,0.8149375614566936
Aggressive_4,0.07863807680127599,0.10418455358397963,0.5844815112470904,0.8393817372452107
Aggressive_5,0.07863807680127599,0.10418455358397963,0.5844815112470904,0.8393817372452107
Aggressive_6,0.08417909594685269,0.11711859590090004,0.5768501214036016,0.8149375614566936
Aggressive_7,0.07525018996966226,0.09787390223196929,0.5828743466304502,0.8526059691501556
Aggressive_8,0.07863807680127599,0.10418455358397963,0.5844815112470904,0.8393817372452107
Aggressive_9,0.08417909594685269,0.11711859590090004,0.5768501214036016,0.8149375614566936
Aggressive_10,0.07863807680127599,0.10418455358397963,0.5844815112470904,0.8393817372452107
Aggressive_11,0.07863807680127599,0.10418455358397963,0.5844815112470904,0.8393817372452107
Aggressive_12,0.06806111004113458,0.07967986258753011,0.6116860478168286,0.9192595176947436
Aggressive_13,0.07863807680127599,0.10418455358397963,0.5844815112470904,0.8393817372452107
Aggressive_14,0.06806111004113458,0.07967986258753011,0.6116860478168286,0.9192595176947436
Aggressive_15,0.07863807680127599,0.10418455358397963,0.5844815112470904,0.8393817372452107
Aggressive_16,0.06806111004113458,0.07967986258753011,0.6116860478168286,0.9192595176947436
Aggressive_17,0.08417909594685269,0.11711859590090004,0.5768501214036016,0.8149375614566936
Aggressive_18,0.07863807680127599,0.10418455358397963,0.5844815112470904,0.8393817372452107
Aggressive_19,0.07863807680127599,0.10418455358397963,0.5844815112470904,0.8393817372452107
Aggressive_20,0.07700401215304975,0.12113496433747048,0.5058144773693983,0.7076736450558148
