Portfolio ID,SPY,QQQ,TLT,GLD,SCHD
1,0.2507,0.2987,0,0.2235,0.2271
2,0.25,0.53,0,0.22,0
3,0.7,0,0,0.3,0
4,0,0.433,0,0.567,0
5,0.15,0.63,0,0.12,0.1
6,0.2501,0,0.2167,0.2485,0.2847
7,0.3926,0,0.1854,0.164,0.258
8,0.2501,0.1,0.1167,0.1485,0.3847
9,0.3926,0.1,0.0854,0.064,0.358
10,0.3501,0,0.3166,0.1486,0.1847
