Portfolio,Sharpe Ratio,Sortino Ratio
1,0.5214959419533707,0.7212852039494883
2,0.4862356292248101,0.6636911752232927
3,0.44995935513744983,0.613407797924601
4,0.5903470496567209,0.8395900692808307
5,0.5748184040911525,0.8708214760520964
6,0.6026714235130651,0.9056829335350013
7,0.5928327164347122,0.8522941259117295
8,0.5800783971817703,0.8412342114382577
9,0.4987566115179272,0.7810040062992324
10,0.46803283654385236,0.7984023664793372
11,0.5564899074744152,0.9473928723362252
12,0.5761056912759638,0.9587558342749889
13,0.5828743466304502,0.8526059691501556
14,0.49595141808686144,0.7114631038827312
15,0.5210789327376597,0.7377240354755196
16,0.4903943474678911,0.6969061075963291
17,0.5094584786233795,0.7118719645671627
18,0.5650019032074286,0.8251554619322007
19,0.44840512372752295,0.6050549867412626
20,0.4809529828476602,0.673394759759452
21,0.4965388738784609,0.6843547274575951
22,0.5395473596576289,0.7580623142381583
23,0.4525801654745219,0.6003755308220549
24,0.4701083739829778,0.6477467174910874
25,0.4836694749563434,0.657841362343895
26,0.44637796172657646,0.615973829982413
27,0.4479420246299193,0.5939872831963399
28,0.459159307492556,0.6241155855774089
29,0.47148728655428607,0.6340016268506302
30,0.5281713773593212,0.8094819910946258
31,0.5072103095525645,0.8431061432919178
32,0.5535374558542152,0.8368244217637993
33,0.542343439142452,0.8802046529392553
34,0.5744282992160141,0.8670363179271394
35,0.5710195957808921,0.9073065320194871
36,0.5963469220238555,0.8708894310119318
37,0.5907215684786705,0.8906157907187569
38,0.5913726263438677,0.9155211144279727
39,0.5860292544044087,0.8879202480128578
40,0.4700266153992908,0.7342844785268193
41,0.5066128753892619,0.6951172071049995
42,0.5844815112470904,0.8393817372452107
43,0.6025768901462408,0.9068566217116478
44,0.5669405695032524,0.8198600430768007
45,0.55767928284011,0.8041308252143291
46,0.561307524017387,0.8059435482698294
47,0.5342694047670821,0.7639770497794672
48,0.5514155460536732,0.7826661595367671
49,0.5113135339387127,0.7258281152197352
50,0.5412924594277658,0.7611398369133967
51,0.4894539463743463,0.6905109379441027
52,0.5312534318637857,0.7408256473870753
53,0.4690107935404538,0.6593106963432637
54,0.5681148703460851,0.8210242416109763
55,0.5915302082341144,0.853653563483008
56,0.5758621945087529,0.8098332925522066
57,0.5873356906522095,0.839293579505019
58,0.5383666044257834,0.7728652374596061
59,0.5190253257632983,0.7471882950234019
60,0.5135341172385076,0.7323597953141181
61,0.4802999440005662,0.6891530849806794
62,0.5679008931399023,0.7922659025185378
63,0.49075598730630476,0.708411531170419
64,0.49080066086983837,0.7042004188433051
65,0.4887603737682513,0.6901036416410022
66,0.4853634788950839,0.6781278449038947
