Portfolio,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio
Defensive_1,0.08222532972954322,0.11182386665817895,0.5820771115803092,0.8524524890704513
Defensive_2,0.07299169576559739,0.10923283152803953,0.5136718457784593,0.7172200637946946
Defensive_3,0.06605817680857995,0.07741307453227751,0.6026714235130651,0.9056829335350012
Defensive_4,0.07299169576559739,0.10923283152803953,0.5136718457784593,0.7172200637946946
Defensive_5,0.08115538131938171,0.10764166981473809,0.5915302082341144,0.853653563483008
Defensive_6,0.0752078692428193,0.09492029853804625,0.5977931822267543,0.8751256530949064
Defensive_7,0.0752078692428193,0.09492029853804625,0.5977931822267543,0.8751256530949064
Defensive_8,0.08115538131938171,0.10764166981473809,0.5915302082341144,0.853653563483008
Defensive_9,0.08115538131938171,0.10764166981473809,0.5915302082341144,0.853653563483008
Defensive_10,0.07106546391311408,0.08808384539197192,0.5925173294685253,0.8894293486736776
Defensive_11,0.06605817680857995,0.07741307453227751,0.6026714235130651,0.9056829335350012
Defensive_12,0.08115538131938171,0.10764166981473809,0.5915302082341144,0.853653563483008
Defensive_13,0.08115538131938171,0.10764166981473809,0.5915302082341144,0.853653563483008
Defensive_14,0.08115538131938171,0.10764166981473809,0.5915302082341144,0.853653563483008
Defensive_15,0.0752078692428193,0.09492029853804625,0.5977931822267543,0.8751256530949064
Defensive_16,0.0752078692428193,0.09492029853804625,0.5977931822267543,0.8751256530949064
Defensive_17,0.07299169576559739,0.10923283152803953,0.5136718457784593,0.7172200637946946
Defensive_18,0.06605817680857995,0.07741307453227751,0.6026714235130651,0.9056829335350012
Defensive_19,0.07299169576559739,0.10923283152803953,0.5136718457784593,0.7172200637946946
Defensive_20,0.0752078692428193,0.09492029853804625,0.5977931822267543,0.8751256530949064
