Portfolio,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio
1,0.07863807680127599,0.10418455358397963,0.5844810079813857,0.8393808996443426
2,0.07635869465647693,0.09736132149499908,0.5963463758750968,0.8708885199055159
3,0.08475562748753052,0.12051870202122635,0.5681144499537767,0.8210235122401291
4,0.06509918309245988,0.07972581724891412,0.5761049007636226,0.9587553112322236
5,0.0814472041237051,0.1276924040310933,0.5190249327999125,0.7471876095403404
6,0.07253726841270569,0.0983531107433545,0.5564892669824253,0.9473924021662388
7,0.07607001211156206,0.1142532478905764,0.5210784793759634,0.7377232832283019
8,0.0635012411324134,0.07517999774086194,0.5860284424072465,0.8879190251847898
9,0.08717802643498929,0.14651057221429936,0.5066125265613128,0.6951166374178611
10,0.05943657509935374,0.08799032023223789,0.4700258608614209,0.7342835272719267
11,0.08376115318855404,0.13521754129271676,0.513533746336822,0.7323591538642121
12,0.08811953058006838,0.17277117873090672,0.4591590093396212,0.6241151069430662
13,0.08491408073481987,0.1566327064259589,0.470108046252158,0.6477461825502567
14,0.08130728272782228,0.1412526882472762,0.4809526202293362,0.6733941573308944
15,0.0773063417313129,0.1269071780647243,0.4903939436628972,0.696905427505431
16,0.07291834875179481,0.1139874310796105,0.4959509660681077,0.7114623402232684
17,0.08927203674007878,0.16926390593437832,0.4714869797732045,0.6340011434805681
18,0.08644335621963406,0.15453324941967117,0.4836691398979424,0.6578408270322939
19,0.08329675418473226,0.14032533419799728,0.4965385056513071,0.6843541303731581
20,0.0798373056800743,0.1268159791859607,0.5094580713121873,0.7118712951541646
21,0.07607001211156206,0.1142532478905764,0.5210784793759634,0.7377232832283019
22,0.07525018996966226,0.09787390223196929,0.5828737858249247,0.8526050617180088
23,0.06605817680857995,0.07741307453227751,0.6026706580312808,0.9056817550900168
24,0.08115538131938171,0.10764166981473809,0.5915297032068587,0.8536527479696366
