Portfolio,Sharpe Ratio,Sortino Ratio
1,0.5844810079813857,0.8393808996443426
2,0.5963463758750968,0.8708885199055159
3,0.5681144499537767,0.8210235122401291
4,0.5761049007636226,0.9587553112322237
5,0.5190249327999125,0.7471876095403404
6,0.5564892669824253,0.9473924021662387
7,0.5210784793759634,0.7377232832283019
8,0.5860284424072465,0.8879190251847898
9,0.5066125265613128,0.6951166374178611
10,0.4700258608614209,0.7342835272719267
11,0.513533746336822,0.7323591538642121
12,0.4591590093396212,0.6241151069430662
13,0.470108046252158,0.6477461825502567
14,0.48095262022933627,0.6733941573308944
15,0.49039394366289724,0.696905427505431
16,0.49595096606810773,0.7114623402232684
17,0.47148697977320453,0.6340011434805681
18,0.48366913989794247,0.6578408270322939
19,0.4965385056513071,0.6843541303731581
20,0.5094580713121873,0.7118712951541646
21,0.5210784793759634,0.7377232832283019
22,0.5828737858249247,0.8526050617180088
23,0.6026706580312808,0.9056817550900167
24,0.5915297032068587,0.8536527479696366
