Portfolio,Annualized Return,Annualized Volatility
1,0.08469177490562108,0.12070025276477145
2,0.08505158768267629,0.12403612419723734
3,0.0858149184029755,0.13295062549785916
4,0.0863827444386509,0.14256141667810437
5,0.08675392888861588,0.15273711474576432
6,0.08692736697506565,0.16337219747267293
7,0.08611591761801374,0.12529326519676262
8,0.0883930072756729,0.1332774125363118
9,0.09054845346023299,0.14161236252794146
10,0.09258104540215517,0.15023974137617158
11,0.09448956170834655,0.15911198790938302
12,0.06603877462602292,0.07739518596581506
13,0.06400490475068099,0.07540852543833655
14,0.06193190795889114,0.07391253173671804
15,0.05982008693328478,0.07293740280215903
16,0.057669743271300256,0.07250415745433765
17,0.0554811775316153,0.07262249451546213
18,0.06441981307770472,0.07612580559941161
19,0.06270986679087942,0.07601560118080286
20,0.06090955515463814,0.07706954550820647
21,0.05901950541358958,0.07924120105126685
22,0.057040352604605715,0.08244228842345562
