Portfolio,Annualized Return,Annualized Volatility
1,0.07863807680127599,0.10418455358397963
2,0.07635869465647693,0.09736132149499908
3,0.08475562748753052,0.12051870202122635
4,0.06509918309245988,0.07972581724891412
5,0.0814472041237051,0.1276924040310933
6,0.07253726841270569,0.0983531107433545
7,0.07607001211156206,0.1142532478905764
8,0.0635012411324134,0.07517999774086194
9,0.08717802643498929,0.14651057221429936
10,0.05943657509935374,0.08799032023223789
11,0.08376115318855404,0.13521754129271676
12,0.08811953058006838,0.17277117873090672
13,0.08491408073481987,0.1566327064259589
14,0.08130728272782228,0.1412526882472762
15,0.0773063417313129,0.1269071780647243
16,0.07291834875179481,0.1139874310796105
17,0.08927203674007878,0.16926390593437832
18,0.08644335621963406,0.15453324941967117
19,0.08329675418473226,0.14032533419799728
20,0.0798373056800743,0.1268159791859607
21,0.07607001211156206,0.1142532478905764
22,0.07525018996966226,0.09787390223196929
23,0.06605817680857995,0.07741307453227751
24,0.08115538131938171,0.10764166981473809
