Portfolio,Sharpe Ratio,Sortino Ratio
Defensive_1,0.5820771115803092,0.8524524890704513
Defensive_2,0.5136718457784593,0.7172200637946946
Defensive_3,0.6026714235130651,0.9056829335350013
Defensive_4,0.5136718457784593,0.7172200637946946
Defensive_5,0.5915302082341144,0.853653563483008
Defensive_6,0.5977931822267543,0.8751256530949064
Defensive_7,0.5977931822267543,0.8751256530949064
Defensive_8,0.5915302082341144,0.853653563483008
Defensive_9,0.5915302082341144,0.853653563483008
Defensive_10,0.5925173294685253,0.8894293486736776
Defensive_11,0.6026714235130651,0.9056829335350013
Defensive_12,0.5915302082341144,0.853653563483008
Defensive_13,0.5915302082341144,0.853653563483008
Defensive_14,0.5915302082341144,0.853653563483008
Defensive_15,0.5977931822267543,0.8751256530949064
Defensive_16,0.5977931822267543,0.8751256530949064
Defensive_17,0.5136718457784593,0.7172200637946946
Defensive_18,0.6026714235130651,0.9056829335350013
Defensive_19,0.5136718457784593,0.7172200637946946
Defensive_20,0.5977931822267543,0.8751256530949064
