Portfolio,Annualized Return,Annualized Volatility
Defensive_1,0.08222532972954322,0.11182386665817895
Defensive_2,0.07299169576559739,0.10923283152803953
Defensive_3,0.06605817680857995,0.07741307453227751
Defensive_4,0.07299169576559739,0.10923283152803953
Defensive_5,0.08115538131938171,0.10764166981473809
Defensive_6,0.0752078692428193,0.09492029853804625
Defensive_7,0.0752078692428193,0.09492029853804625
Defensive_8,0.08115538131938171,0.10764166981473809
Defensive_9,0.08115538131938171,0.10764166981473809
Defensive_10,0.07106546391311408,0.08808384539197192
Defensive_11,0.06605817680857995,0.07741307453227751
Defensive_12,0.08115538131938171,0.10764166981473809
Defensive_13,0.08115538131938171,0.10764166981473809
Defensive_14,0.08115538131938171,0.10764166981473809
Defensive_15,0.0752078692428193,0.09492029853804625
Defensive_16,0.0752078692428193,0.09492029853804625
Defensive_17,0.07299169576559739,0.10923283152803953
Defensive_18,0.06605817680857995,0.07741307453227751
Defensive_19,0.07299169576559739,0.10923283152803953
Defensive_20,0.0752078692428193,0.09492029853804625
