Combination,Weight1,Weight2,10-Year Return
QQQ-SCHD,3,7,224.3053357
QQQ-SCHD,3,7,219.9725231
QQQ-SCHD,3,7,228.0203799
QQQ-SCHD,3,7,209.7055373
QQQ-SCHD,3,7,212.7442839
QQQ-SCHD,3,7,210.6894998
QQQ-SCHD,3,7,225.3804056
QQQ-SCHD,3,7,219.3688025
QQQ-SCHD,3,7,224.6033529
QQQ-SCHD,3,7,217.2989124
QQQ-SCHD,3,7,221.5377769
QQQ-SCHD,3,7,211.136286
QQQ-SCHD,3,7,226.3690154
QQQ-SCHD,3,7,211.4006642
QQQ-SCHD,3,7,210.5357881
QQQ-SCHD,3,7,191.9601403
QQQ-SCHD,3,7,201.6756705
QQQ-SCHD,4,6,370.271713
QQQ-SCHD,4,6,368.6546721
QQQ-SCHD,4,6,389.642133
QQQ-SCHD,4,6,345.1032856
QQQ-SCHD,4,6,314.2508087
QQQ-SCHD,4,6,316.2663703
QQQ-SCHD,4,6,285.3908715
QQQ-SCHD,4,6,313.0229824
QQQ-SCHD,4,6,265.4429842
QQQ-SCHD,4,6,285.1639775
QQQ-SCHD,4,6,262.1441186
QQQ-SCHD,4,6,227.2301076
QQQ-SCHD,4,6,264.2282072
QQQ-SCHD,4,6,284.1801773
QQQ-SCHD,4,6,263.1632226
QQQ-SCHD,4,6,267.0303851
QQQ-SCHD,4,6,254.2269792
QQQ-SCHD,4,6,252.5278799
QQQ-SCHD,4,6,241.9367329
QQQ-SCHD,4,6,236.6399468
QQQ-SCHD,4,6,261.1138947
QQQ-SCHD,4,6,256.9217237
QQQ-SCHD,4,6,259.8139414
QQQ-SCHD,4,6,231.6696407
QQQ-SCHD,4,6,206.0976072
QQQ-SCHD,4,6,221.4415923
QQQ-SCHD,4,6,234.4869309
QQQ-SCHD,4,6,249.2108485
QQQ-SCHD,4,6,245.2791999
QQQ-SCHD,4,6,254.7334895
QQQ-SCHD,4,6,235.6856739
QQQ-SCHD,4,6,239.2789369
QQQ-SCHD,4,6,238.9606461
QQQ-SCHD,4,6,251.2657362
QQQ-SCHD,4,6,243.8280942
QQQ-SCHD,4,6,250.3310698
QQQ-SCHD,4,6,241.8618129
QQQ-SCHD,4,6,246.1496674
QQQ-SCHD,4,6,237.8906439
QQQ-SCHD,4,6,254.161277
QQQ-SCHD,4,6,235.5292252
QQQ-SCHD,4,6,232.1547388
QQQ-SCHD,4,6,214.8974742
QQQ-SCHD,4,6,226.9573057
QQQ-SCHD,5,5,407.9329071
QQQ-SCHD,5,5,410.4612705
QQQ-SCHD,5,5,431.0417349
QQQ-SCHD,5,5,376.58262
QQQ-SCHD,5,5,340.8834437
QQQ-SCHD,5,5,342.3921145
QQQ-SCHD,5,5,305.7974515
QQQ-SCHD,5,5,334.0262979
QQQ-SCHD,5,5,283.6132567
QQQ-SCHD,5,5,308.1512346
QQQ-SCHD,5,5,281.0926021
QQQ-SCHD,5,5,243.2848852
QQQ-SCHD,5,5,281.2535282
QQQ-SCHD,5,5,301.3104153
QQQ-SCHD,5,5,277.2670523
QQQ-SCHD,5,5,285.4386241
QQQ-SCHD,5,5,273.7678597
QQQ-SCHD,5,5,276.1630438
QQQ-SCHD,5,5,265.5030571
QQQ-SCHD,5,5,263.354395
QQQ-SCHD,5,5,290.7572589
QQQ-SCHD,5,5,285.4676521
QQQ-SCHD,5,5,287.3498416
QQQ-SCHD,5,5,255.986411
QQQ-SCHD,5,5,229.1442287
QQQ-SCHD,5,5,246.7491134
QQQ-SCHD,5,5,259.9623172
QQQ-SCHD,5,5,275.450222
QQQ-SCHD,5,5,272.0102894
QQQ-SCHD,5,5,283.0338629
QQQ-SCHD,5,5,263.2889573
QQQ-SCHD,5,5,267.4999485
QQQ-SCHD,5,5,269.2178115
QQQ-SCHD,5,5,278.5900362
QQQ-SCHD,5,5,269.555412
QQQ-SCHD,5,5,277.4772031
QQQ-SCHD,5,5,267.7212444
QQQ-SCHD,5,5,272.034087
QQQ-SCHD,5,5,266.324428
QQQ-SCHD,5,5,283.6700409
QQQ-SCHD,5,5,260.9071421
QQQ-SCHD,5,5,254.6535573
QQQ-SCHD,5,5,239.0094507
QQQ-SCHD,5,5,253.6889326
QQQ-SCHD,6,4,448.0699495
QQQ-SCHD,6,4,455.4512287
QQQ-SCHD,6,4,475.3574779
QQQ-SCHD,6,4,409.7711331
QQQ-SCHD,6,4,368.7549509
QQQ-SCHD,6,4,369.686398
QQQ-SCHD,6,4,326.8107104
QQQ-SCHD,6,4,355.583806
QQQ-SCHD,6,4,302.2328388
QQQ-SCHD,6,4,331.9959695
QQQ-SCHD,6,4,300.5609797
QQQ-SCHD,6,4,259.6997122
QQQ-SCHD,6,4,298.5908623
QQQ-SCHD,6,4,318.6959395
QQQ-SCHD,6,4,291.4332718
QQQ-SCHD,6,4,304.2457128
QQQ-SCHD,6,4,293.8733674
QQQ-SCHD,6,4,300.8197996
QQQ-SCHD,6,4,290.1449453
QQQ-SCHD,6,4,291.5855926
QQQ-SCHD,6,4,322.1843794
QQQ-SCHD,6,4,315.6581192
QQQ-SCHD,6,4,316.3577118
QQQ-SCHD,6,4,281.5051846
QQQ-SCHD,6,4,253.3869168
QQQ-SCHD,6,4,273.4732138
QQQ-SCHD,6,4,286.7824841
QQQ-SCHD,6,4,303.0423085
QQQ-SCHD,6,4,300.1925052
QQQ-SCHD,6,4,312.9604875
QQQ-SCHD,6,4,292.5634691
QQQ-SCHD,6,4,297.4598864
QQQ-SCHD,6,4,301.5408922
QQQ-SCHD,6,4,307.3748969
QQQ-SCHD,6,4,296.5608166
QQQ-SCHD,6,4,306.0616047
QQQ-SCHD,6,4,294.8895825
QQQ-SCHD,6,4,299.2005673
QQQ-SCHD,6,4,296.4814286
QQQ-SCHD,6,4,314.9372325
QQQ-SCHD,6,4,287.5411426
QQQ-SCHD,6,4,278.0122823
QQQ-SCHD,6,4,264.2963465
QQQ-SCHD,6,4,281.8872556
QQQ-SCHD,7,3,490.7980983
QQQ-SCHD,7,3,503.8148585
QQQ-SCHD,7,3,522.7408693
QQQ-SCHD,7,3,444.7192462
QQQ-SCHD,7,3,397.8865016
QQQ-SCHD,7,3,398.1657647
QQQ-SCHD,7,3,348.4139845
QQQ-SCHD,7,3,377.6728515
QQQ-SCHD,7,3,321.2801707
QQQ-SCHD,7,3,356.689978
QQQ-SCHD,7,3,320.5288454
QQQ-SCHD,7,3,276.451847
QQQ-SCHD,7,3,316.211181
QQQ-SCHD,7,3,336.3044782
QQQ-SCHD,7,3,305.6281523
