Date,1,2,3,4,5,6,7,8,9
1998-02-28,0.017323690158639975,0.048506332444191926,0.0,0.010394214095183985,0.01733061963470343,0.027205123025128217,0.01733061963470343,0.0,0.03464738031727995
1998-03-31,0.0121958478348676,0.034148373937629276,0.0,0.00731750870092056,0.012200726174001546,0.019152359439876077,0.012200726174001546,0.0,0.0243916956697352
1998-04-30,0.003197865655133025,0.008954023834372469,0.0,0.001918719393079815,0.003199144801395078,0.0050219282248209025,0.003199144801395078,0.0,0.00639573131026605
1998-05-31,-0.005192259272833225,-0.014538325963933028,0.0,-0.003115355563699935,-0.005194336176542358,-0.008153923962057297,-0.005194336176542358,0.0,-0.01038451854566645
1998-06-30,0.01064333198795225,0.0298013295662663,0.0,0.00638599919277135,0.010647589320747431,0.016714288553880213,0.010647589320747431,0.0,0.0212866639759045
1998-07-31,-0.0033784075233595,-0.0094595410654066,0.0,-0.0020270445140157,-0.003379758886368844,-0.005305451174683759,-0.003379758886368844,0.0,-0.006756815046719
1998-08-31,-0.03529483750962505,-0.09882554502695014,0.0,-0.02117690250577503,-0.0353089554446289,-0.05542701282511518,-0.0353089554446289,0.0,-0.0705896750192501
1998-09-30,0.015909858370433273,0.04454760343721316,0.0,0.009545915022259963,0.015916222313781446,0.024984841584928412,0.015916222313781446,0.0,0.03181971674086655
1998-10-31,0.020270178902246076,0.05675650092628901,0.0,0.012162107341347645,0.020278286973806972,0.03183228894808724,0.020278286973806972,0.0,0.04054035780449215
1998-11-30,0.013920533193948975,0.03897749294305713,0.0,0.008352319916369385,0.013926101407226554,0.021860805327777472,0.013926101407226554,0.0,0.02784106638789795
1998-12-31,0.0163555919423251,0.04579565743851027,0.0,0.00981335516539506,0.01636213417910203,0.025684821586227338,0.01636213417910203,0.0,0.0327111838846502
1999-01-31,0.008806237193656525,0.024657464142238267,0.0,0.005283742316193915,0.008809759688533987,0.013829314888918207,0.008809759688533987,0.0,0.01761247438731305
