Feature,Importance
emp_length,16183.45951
log_revol_bal,16844.91288
installment,26077.13086
mort_acc,28198.30016
loan_amnt,28371.62113
log_annual_inc,30415.3904
dti,37920.87605
fico_score,51226.18233
term,70388.22178
int_rate,321646.9638
