Date,Monthly Close
1999-03-31,44.4748
1999-04-30,45.5344
1999-05-31,44.1040
1999-06-30,48.8455
1999-07-31,47.9714
1999-08-31,50.5938
1999-09-30,51.0176
1999-10-31,55.7326
1999-11-30,62.3018
1999-12-31,77.4535
2000-01-31,76.0231
2000-02-29,90.4860
2000-03-31,92.8171
2000-04-30,80.3143
2000-05-31,70.4604
2000-06-30,79.2018
2000-07-31,75.8112
2000-08-31,86.1419
2000-09-30,75.2284
2000-10-31,69.2552
2000-11-30,53.3883
2000-12-31,49.4813
2001-01-31,54.5035
2001-02-28,40.2207
2001-03-31,33.1853
2001-04-30,39.1188
2001-05-31,37.9151
2001-06-30,38.7374
2001-07-31,35.3976
2001-08-31,31.0492
2001-09-30,24.5647
2001-10-31,28.7352
2001-11-30,33.6091
2001-12-31,32.9819
2002-01-31,32.6428
2002-02-28,28.6334
2002-03-31,30.5661
2002-04-30,26.8958
2002-05-31,25.4632
2002-06-30,22.1235
2002-07-31,20.2163
2002-08-31,19.9112
2002-09-30,17.5632
2002-10-31,20.8097
2002-11-30,23.4967
2002-12-31,20.6571
2003-01-31,20.7164
2003-02-28,21.3267
2003-03-31,21.4030
2003-04-30,23.2678
2003-05-31,25.2513
2003-06-30,25.3870
2003-07-31,26.9551
2003-08-31,28.3028
2003-09-30,27.4806
2003-10-31,29.8201
2003-11-30,29.9897
2003-12-31,30.9172
2004-01-31,31.4345
2004-02-29,31.0105
2004-03-31,30.3914
2004-04-30,29.4841
2004-05-31,30.9935
2004-06-30,32.0026
2004-07-31,29.5859
2004-08-31,28.8481
2004-09-30,29.7979
2004-10-31,31.2903
2004-11-30,33.1728
2004-12-31,34.1754
2005-01-31,32.0180
2005-02-28,31.8639
2005-03-31,31.3075
2005-04-30,29.9463
2005-05-31,32.6002
2005-06-30,31.5164
2005-07-31,33.9157
2005-08-31,33.4015
2005-09-30,33.8128
2005-10-31,33.3073
2005-11-30,35.3381
2005-12-31,34.7104
2006-01-31,36.0761
2006-02-28,35.3031
2006-03-31,36.0413
2006-04-30,35.9725
2006-05-31,33.3680
2006-06-30,33.3475
2006-07-31,31.9111
2006-08-31,33.4335
2006-09-30,34.9847
2006-10-31,36.6457
2006-11-30,37.9022
2006-12-31,37.1901
2007-01-31,37.9743
2007-02-28,37.3366
2007-03-31,37.5326
2007-04-30,39.6278
2007-05-31,40.8780
2007-06-30,41.0739
2007-07-31,41.0135
2007-08-31,42.1698
2007-09-30,44.3846
2007-10-31,47.5099
2007-11-30,44.2983
2007-12-31,44.2667
2008-01-31,39.0034
2008-02-29,37.1194
2008-03-31,37.8144
2008-04-30,40.8329
2008-05-31,43.2547
2008-06-30,39.0957
2008-07-31,39.3468
2008-08-31,39.9180
2008-09-30,33.7003
2008-10-31,28.4863
2008-11-30,25.2211
2008-12-31,25.7954
2009-01-31,25.2056
2009-02-28,23.8786
2009-03-31,26.3420
2009-04-30,29.7825
2009-05-31,30.7381
2009-06-30,31.6458
2009-07-31,34.3163
2009-08-31,34.8208
2009-09-30,36.7875
2009-10-31,35.6643
2009-11-30,37.9281
2009-12-31,39.9015
2010-01-31,37.3199
2010-02-28,39.0380
2010-03-31,42.0482
2010-04-30,42.9912
2010-05-31,39.8131
2010-06-30,37.4340
2010-07-31,40.1510
2010-08-31,38.0913
2010-09-30,43.1091
2010-10-31,45.8413
2010-11-30,45.7622
2010-12-31,47.9391
2011-01-31,49.2947
2011-02-28,50.8528
2011-03-31,50.6249
2011-04-30,52.0793
2011-05-31,51.4446
2011-06-30,50.4026
2011-07-31,51.2420
2011-08-31,48.6445
2011-09-30,46.4600
2011-10-31,51.2927
2011-11-30,49.9120
2011-12-31,49.6054
2012-01-31,53.7814
2012-02-29,57.2288
2012-03-31,60.1206
2012-04-30,59.4175
2012-05-31,55.2344
2012-06-30,57.2347
2012-07-31,57.8056
2012-08-31,60.8029
2012-09-30,61.3431
2012-10-31,58.1046
2012-11-30,58.8651
2012-12-31,58.5902
2013-01-31,60.1555
2013-02-28,60.3624
2013-03-31,62.1882
2013-04-30,63.7661
2013-05-31,66.0473
2013-06-30,64.4653
2013-07-31,68.5357
2013-08-31,68.2644
2013-09-30,71.5630
2013-10-31,75.1103
2013-11-30,77.7776
2013-12-31,80.0542
2014-01-31,78.5161
2014-02-28,82.5616
2014-03-31,80.3047
2014-04-30,80.0482
2014-05-31,83.6389
2014-06-30,86.2516
2014-07-31,87.2711
2014-08-31,91.6429
2014-09-30,90.9495
2014-10-31,93.3524
2014-11-30,97.5965
2014-12-31,95.4097
2015-01-31,93.4230
2015-02-28,100.1687
2015-03-31,97.8057
2015-04-30,99.6859
2015-05-31,101.9273
2015-06-30,99.3953
2015-07-31,103.9255
2015-08-31,96.8331
2015-09-30,94.6957
2015-10-31,105.4626
2015-11-30,106.1046
2015-12-31,104.4125
2016-01-31,97.1972
2016-02-29,95.6757
2016-03-31,102.2320
2016-04-30,98.9741
2016-05-31,103.2992
2016-06-30,100.9460
2016-07-31,108.1645
2016-08-31,109.3003
2016-09-30,111.7197
2016-10-31,110.0918
2016-11-30,110.5717
2016-12-31,111.8236
2017-01-31,117.5715
2017-02-28,122.7153
2017-03-31,125.2025
2017-04-30,128.6168
2017-05-31,133.6295
2017-06-30,130.5320
2017-07-31,135.8333
2017-08-31,138.6499
2017-09-30,138.2406
2017-10-31,144.6086
2017-11-30,147.4598
2017-12-31,148.3492
2018-01-31,161.3402
2018-02-28,159.2544
2018-03-31,152.7587
2018-04-30,153.5314
2018-05-31,162.2411
2018-06-30,164.0989
2018-07-31,168.6877
2018-08-31,178.4390
2018-09-30,177.9364
2018-10-31,162.6415
2018-11-30,162.2105
2018-12-31,148.1619
2019-01-31,161.5125
2019-02-28,166.3436
2019-03-31,172.8719
2019-04-30,182.3786
2019-05-31,167.3776
2019-06-30,180.0817
2019-07-31,184.2862
2019-08-31,180.7857
2019-09-30,182.4450
2019-10-31,190.4363
2019-11-30,198.1859
2019-12-31,205.8881
2020-01-31,212.1439
2020-02-29,199.2935
2020-03-31,184.7732
2020-04-30,212.4407
2020-05-31,226.4637
2020-06-30,240.7007
2020-07-31,258.3839
2020-08-31,286.6634
2020-09-30,270.0981
2020-10-31,261.8738
2020-11-30,291.2712
2020-12-31,305.5506
2021-01-31,306.3492
2021-02-28,305.9401
2021-03-31,311.1924
2021-04-30,329.5833
2021-05-31,325.6243
2021-06-30,346.0153
2021-07-31,355.9146
2021-08-31,370.9294
2021-09-30,349.8490
2021-10-31,377.3611
2021-11-30,384.8965
2021-12-31,389.3317
2022-01-31,355.2768
2022-02-28,339.3747
2022-03-31,355.2164
2022-04-30,306.9221
2022-05-31,302.0524
2022-06-30,275.1460
2022-07-31,309.6815
2022-08-31,293.7881
2022-09-30,262.8359
2022-10-31,273.3490
2022-11-30,288.5039
2022-12-31,262.4991
2023-01-31,290.4367
2023-02-28,289.3918
2023-03-31,316.8629
2023-04-30,318.4722
2023-05-31,343.5800
2023-06-30,365.2387
2023-07-31,379.3373
2023-08-31,373.7118
2023-09-30,354.7277
2023-10-31,347.4009
2023-11-30,384.9855
2023-12-31,406.4945
2024-01-31,413.8895
2024-02-29,435.7568
