Date,Monthly Close
2020-05-31,33.3783
2020-06-30,33.2101
2020-07-31,35.0391
2020-08-31,35.8732
2020-09-30,35.6015
2020-10-31,35.0927
2020-11-30,37.6391
2020-12-31,38.6178
2021-01-31,38.0013
2021-02-28,38.2609
2021-03-31,40.6910
2021-04-30,41.7461
2021-05-31,42.4790
2021-06-30,43.1588
2021-07-31,44.2669
2021-08-31,45.0354
2021-09-30,43.1664
2021-10-31,45.1423
2021-11-30,44.3775
2021-12-31,46.9303
2022-01-31,45.2964
2022-02-28,44.7373
2022-03-31,46.2452
2022-04-30,44.5479
2022-05-31,44.5157
2022-06-30,42.8883
2022-07-31,44.9229
2022-08-31,43.6012
2022-09-30,40.8346
2022-10-31,43.9091
2022-11-30,46.2004
2022-12-31,45.2926
2023-01-31,46.1072
2023-02-28,45.0715
2023-03-31,46.1025
2023-04-30,47.1624
2023-05-31,46.3431
2023-06-30,47.7898
2023-07-31,48.5801
2023-08-31,48.5801
2023-09-30,47.0924
2023-10-31,46.5816
2023-11-30,48.7645
2023-12-31,49.7417
2024-01-31,50.6284
2024-02-29,51.8209
2024-03-31,52.9100
2024-04-30,51.4519
2024-05-31,52.5863
2024-06-30,52.7819
2024-07-31,53.8403
2024-08-31,55.3833
2024-09-30,56.4070
2024-10-31,55.9986
2024-11-30,58.4137
2024-12-31,55.9939
2025-01-31,57.3955
2025-02-28,58.1452
2025-03-31,56.2340
2025-04-30,55.1020
2025-05-31,55.9600
