Date,Monthly Return
2011-11-30,0.016470917027290755
2011-12-31,0.010030660530670144
2012-01-31,0.016424884052034905
2012-02-29,0.028560398328309144
2012-03-31,0.01899916752051234
2012-04-30,-0.0010757611692909785
2012-05-31,-0.03804747941201536
2012-06-30,0.03582091628763817
2012-07-31,0.024495791256937238
2012-08-31,0.00597749272200776
2012-09-30,0.012107530941662725
2012-10-31,-0.009391010752228368
2012-11-30,0.004564505835098043
2012-12-31,-0.009437329034281294
2013-01-31,0.055398964874804335
2013-02-28,0.02106336056051572
2013-03-31,0.04092960353831465
2013-04-30,0.029883840665950956
2013-05-31,0.014049820223659637
2013-06-30,-0.008231947053139899
2013-07-31,0.04587170754488734
2013-08-31,-0.03537986567216567
2013-09-30,0.02686759264788674
2013-10-31,0.049925632588846636
2013-11-30,0.025474044857403344
2013-12-31,0.0118686929441425
2014-01-31,-0.044462630363704125
2014-02-28,0.038823725999368675
2014-03-31,0.019562329979688986
2014-04-30,0.018181970133620107
2014-05-31,0.013326686588660541
2014-06-30,0.013595220544888598
2014-07-31,-0.017245955294578175
2014-08-31,0.03429937976396569
2014-09-30,-0.00874019793946823
2014-10-31,0.019709558743826294
2014-11-30,0.029755674044001035
2014-12-31,-0.009052694461721411
2015-01-31,-0.03111666169237326
2015-02-28,0.05231807507120223
2015-03-31,-0.030027122188069688
2015-04-30,0.007612313503072121
2015-05-31,0.005036507647402155
2015-06-30,-0.040591451271231205
2015-07-31,0.007051647620348822
2015-08-31,-0.05316401917453717
2015-09-30,-0.015338409252575236
2015-10-31,0.08762166233031787
2015-11-30,0.00281360238125572
2015-12-31,-0.009511657340702251
2016-01-31,-0.022821719195915136
2016-02-29,0.007430928110097268
2016-03-31,0.056111558226063174
2016-04-30,-0.001745762747281776
2016-05-31,0.013992954330587892
2016-06-30,0.021192470125654506
2016-07-31,0.028475103054994566
2016-08-31,-0.003284969125724402
2016-09-30,0.0018380444677235097
2016-10-31,-0.015599241627856197
2016-11-30,0.032653015518413264
2016-12-31,0.022241773950947064
2017-01-31,-0.0048198036723706705
2017-02-28,0.034132953779660635
2017-03-31,-0.005798417737875039
2017-04-30,0.0024673475236549613
2017-05-31,0.01745371609782076
2017-06-30,-0.0009562803938122366
2017-07-31,0.016629813431496387
2017-08-31,-0.00021817435247539763
2017-09-30,0.028479682191028477
2017-10-31,0.03611105897009681
2017-11-30,0.04207040308802745
2017-12-31,0.01266592361219776
2018-01-31,0.04553417589070863
2018-02-28,-0.05626162059822082
2018-03-31,-0.028916507364419863
2018-04-30,-0.01121758618737767
2018-05-31,0.01794560153337965
2018-06-30,0.006967251780529704
2018-07-31,0.045445328655949524
2018-08-31,0.022899114983061963
2018-09-30,0.012420064888502225
2018-10-31,-0.059056883276282446
2018-11-30,0.03368744198493823
2018-12-31,-0.08131388689342478
2019-01-31,0.06046405389327347
2019-02-28,0.04055406761217273
2019-03-31,0.008682142092246492
2019-04-30,0.03213502472168184
2019-05-31,-0.07598230647158366
2019-06-30,0.06438013109331786
2019-07-31,0.01658197668940642
2019-08-31,-0.012974993704205184
2019-09-30,0.03796802173234193
2019-10-31,0.013508472601342802
2019-11-30,0.028278316790691038
2019-12-31,0.022840882338430513
2020-01-31,-0.01761056292791008
2020-02-29,-0.09349756158696809
2020-03-31,-0.1279564267839981
2020-04-30,0.12605614628767658
2020-05-31,0.036919971930150064
2020-06-30,-0.014661136121874474
2020-07-31,0.05294707973163759
2020-08-31,0.05120184435924857
2020-09-30,-0.034567185135163325
2020-10-31,0.0037975500428173437
2020-11-30,0.13168812545923214
2020-12-31,0.0210123382234213
2021-01-31,-0.009042545831488003
2021-02-28,0.0605724640296208
2021-03-31,0.08173876682901149
2021-04-30,0.02207888903849975
2021-05-31,0.03220177946984881
2021-06-30,-0.01702840618696888
2021-07-31,0.0064797126313567155
2021-08-31,0.020890887295484717
2021-09-30,-0.04453019018098692
2021-10-31,0.04404621424875055
2021-11-30,-0.020513471374578818
2021-12-31,0.07315682116078137
2022-01-31,-0.02734144627630042
2022-02-28,-0.019333354259437496
2022-03-31,0.02993244547384677
2022-04-30,-0.04119667433771623
2022-05-31,0.03900056055039669
2022-06-30,-0.07955719326963995
2022-07-31,0.03908971788847215
2022-08-31,-0.027274114533955895
2022-09-30,-0.0741530619870574
2022-10-31,0.11214799591519009
2022-11-30,0.0683540291329936
2022-12-31,-0.04294932373464411
2023-01-31,0.020783605765779756
2023-02-28,-0.033199236577487024
2023-03-31,-0.010477824984684303
2023-04-30,-0.008064561067670284
2023-05-31,-0.041063783312933255
2023-06-30,0.053182295966581083
2023-07-31,0.04186173701905682
2023-08-31,-0.01493528462071203
2023-09-30,-0.04203853984476169
2023-10-31,-0.0381572116056631
2023-11-30,0.06303269364681885
2023-12-31,0.06304972809082532
2024-01-31,0.0014449033018597568
2024-02-29,0.018363068981189334
2024-03-31,0.03851109719195378
2024-04-30,-0.045144469370478224
2024-05-31,0.020522160136233536
2024-06-30,-0.010309323464183673
2024-07-31,0.06198557101378599
2024-08-31,0.023613500142724453
2024-09-30,0.0
2024-10-31,0.0018927585285473114
2024-11-30,0.04605036944515417
2024-12-31,-0.06621099347801951
2025-01-31,0.018667615703889195
2025-02-28,0.02551209735475446
2025-03-31,-0.011481150556160613
2025-04-30,-0.07653789197857552
2025-05-31,0.023237815203770218
