Date,Monthly Close
1998-01-31,61.0140
1998-02-28,65.2420
1998-03-31,68.4247
1998-04-30,69.2999
1998-05-31,67.8606
1998-06-30,70.7497
1998-07-31,69.7936
1998-08-31,59.9402
1998-09-30,63.7548
1998-10-31,68.9240
1998-11-30,72.7619
1998-12-31,77.5221
1999-01-31,80.2528
1999-02-28,77.6793
1999-03-31,80.9004
1999-04-30,83.9726
1999-05-31,82.0525
1999-06-30,86.5964
1999-07-31,83.9101
1999-08-31,83.4755
1999-09-30,81.6109
1999-10-31,86.8403
1999-11-30,88.2864
1999-12-31,93.3283
2000-01-31,88.6818
2000-02-29,87.3315
2000-03-31,95.7952
2000-04-30,92.4308
2000-05-31,90.9776
2000-06-30,92.7682
2000-07-31,91.3115
2000-08-31,97.2779
2000-09-30,91.9410
2000-10-31,91.5109
2000-11-30,84.6793
2000-12-31,84.2368
2001-01-31,87.9819
2001-02-28,79.5895
2001-03-31,75.1295
2001-04-30,81.5486
2001-05-31,81.0914
2001-06-30,79.1591
2001-07-31,78.3521
2001-08-31,73.7032
2001-09-30,67.6868
2001-10-31,68.5682
2001-11-30,73.9149
2001-12-31,74.3318
2002-01-31,73.6034
2002-02-28,72.2832
2002-03-31,74.6882
2002-04-30,70.3446
2002-05-31,69.9272
2002-06-30,64.7660
2002-07-31,59.6612
2002-08-31,60.0670
2002-09-30,53.7688
2002-10-31,58.1931
2002-11-30,61.7825
2002-12-31,58.2875
2003-01-31,56.8539
2003-02-28,56.0876
2003-03-31,56.2076
2003-04-30,60.9635
2003-05-31,64.3065
2003-06-30,64.9914
2003-07-31,66.1630
2003-08-31,67.5277
2003-09-30,66.7913
2003-10-31,70.3664
2003-11-30,71.1348
2003-12-31,74.7138
2004-01-31,76.1910
2004-02-29,77.2249
2004-03-31,76.2020
2004-04-30,74.7602
2004-05-31,76.0403
2004-06-30,77.4472
2004-07-31,74.9519
2004-08-31,75.1345
2004-09-30,75.8886
2004-10-31,76.8664
2004-11-30,80.2883
2004-12-31,82.7067
