Portfolio,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio
1,0.08469177490562108,0.12070025276477145,0.5669401499545623,0.8198593143439246
2,0.08505158768267629,0.12403612419723734,0.5576788758534089,0.8041301181452215
3,0.0858149184029755,0.13295062549785916,0.5342690267851792,0.7639763955968916
4,0.0863827444386509,0.14256141667810437,0.5113131817624571,0.7258275095533472
5,0.08675392888861588,0.15273711474576432,0.4894536171636278,0.6905103760767389
6,0.08692736697506565,0.16337219747267293,0.4690104848187132,0.659310172880763
7,0.08611591761801374,0.12529326519676262,0.561307120191097,0.8059428511313816
8,0.0883930072756729,0.1332774125363118,0.5514151664815732,0.7826655115175613
9,0.09054845346023299,0.14161236252794146,0.5412921018473853,0.761139232589949
10,0.09258104540215517,0.15023974137617158,0.5312530942302774,0.7408250823885665
11,0.09448956170834655,0.15911198790938302,0.5214956224361701,0.7212846747242392
12,0.06603877462602292,0.07739518596581506,0.6025761228972142,0.9068554412439296
13,0.06400490475068099,0.07540852543833655,0.5907207695970721,0.8906145776800717
14,0.06193190795889114,0.07391253173671804,0.5744274724698881,0.8670350796338082
15,0.05982008693328478,0.07293740280215903,0.5535366066787271,0.8368231655927765
16,0.057669743271300256,0.07250415745433765,0.5281705126934347,0.8094812250455883
17,0.0554811775316153,0.07262249451546213,0.4987557393850712,0.7810030740551661
18,0.06441981307770472,0.07612580559941161,0.591371819103857,0.915519879744332
19,0.06270986679087942,0.07601560118080286,0.5710187612637619,0.9073059257725592
20,0.06090955515463814,0.07706954550820647,0.5423425937049052,0.8802037560333819
21,0.05901950541358958,0.07924120105126685,0.5072094704709692,0.8431049565986801
22,0.057040352604605715,0.08244228842345562,0.4680320191654371,0.7984010102796726
