Combination,Weight1,Weight2,Annual Return,Annual Volatility,Min Value,1st Quartile,Median,3rd Quartile,IQR,Max Value,Variance,Return-to-Volatility Ratio,Range,Range-to-Variance Ratio
SCHD-SPY,7,3,11.02089603,11.84097681,142.8566594,170.6673789,180.2290648,210.3536643,39.68628541,280.5678404,1179.86845,0.930742134,137.711181,0.116717403
SPY-GLD,8,2,10.73562515,11.60527376,95.49579907,126.6393972,180.515292,209.0366312,82.397234,273.7375599,2221.431145,0.925064361,178.2417609,0.080237356
SPY-GLD,4,6,10.40129959,11.33424863,52.88640444,92.21515972,106.5796698,127.1237593,34.90859961,201.6917847,866.9843268,0.917687615,148.8053802,0.171635606
SPY-TLT,5,5,7.761505854,8.523994136,76.29118102,105.6970362,119.4236542,153.5038131,47.80677691,203.1565255,1200.903464,0.910548005,126.8653445,0.105641584
SPY-TLT,8,2,9.890840649,10.99041818,97.90199036,114.72434,156.9618533,209.076619,94.35227897,287.7568617,2985.775618,0.899951256,189.8548713,0.06358645
QQQ-SCHD,1,9,10.75000773,12.04698599,143.9392359,166.6022802,178.790578,216.8022693,50.19998911,281.4793383,1296.787363,0.892340021,137.5401023,0.106062186
SCHD-SPY,8,2,10.6535432,11.94843062,136.9959378,161.9016385,172.1827736,207.5586169,45.65697837,270.2781732,1189.877605,0.891626988,133.2822354,0.112013399
SPY-GLD,9,1,10.81528047,12.49098057,91.51232969,121.4665819,204.9278476,231.3169405,109.8503586,316.5859909,3724.323122,0.865847193,225.0736612,0.060433441
SPY-TLT,9,1,10.63104831,12.35062463,92.06525527,111.5583862,178.6628019,227.6054194,116.0470332,324.3940303,4377.281977,0.860770093,232.328775,0.053076036
SCHD-SPY,9,1,10.28880345,12.08770577,131.1979764,153.929061,164.1873237,204.1649197,50.23585865,260.1904406,1208.239406,0.851179177,128.9924642,0.106760683
SPY-GLD,3,7,10.30960356,12.14212681,34.74075352,76.1817986,94.55719705,113.9536248,37.77182622,193.2955931,1155.651993,0.849077243,158.5548396,0.137199469
QQQ-GLD,2,8,11.18418231,13.31813207,27.92489945,77.7937417,94.27314723,127.4360283,49.64228657,212.8357994,1798.119724,0.839771092,184.9109,0.1028357
QQQ-TLT,3,7,8.011870399,9.616791427,52.16237184,114.8147283,141.5103215,163.2270914,48.41236307,225.6462891,1744.985955,0.83311263,173.4839173,0.099418518
SCHD-GLD,8,2,8.920119905,10.72800007,112.7288868,135.5015014,145.2384502,155.5696552,20.06815383,188.0128222,264.7184541,0.831480224,75.28393538,0.284392471
SCHD-GLD,9,1,9.420574184,11.38091937,119.4334808,142.9479215,151.8993174,175.4147615,32.46683997,218.2547253,580.722268,0.827751597,98.82124451,0.170169546
SCHD-TLT,8,2,8.242857766,9.976115826,97.51516231,114.0509368,125.5363408,155.5399978,41.48906107,207.6748101,951.7612497,0.826259229,110.1596478,0.115742943
SPY-TLT,4,6,7.083852245,8.595118992,54.453916,100.5498972,116.1374825,136.0678381,35.51794084,188.1928759,1130.900875,0.824171515,133.7389599,0.118258782
SCHD-TLT,9,1,9.087029771,11.044511,111.6006795,130.5759531,141.6393445,176.9714698,46.39551668,228.9942574,1079.031685,0.822764337,117.3935779,0.108795302
SPY-TLT,10,0,11.38569759,13.84919255,83.59450953,107.0154081,199.4579481,247.1233994,140.1079913,362.3048006,6315.250405,0.822119957,278.710291,0.044132896
SCHD-GLD,7,3,8.424416495,10.33889665,100.9042528,123.5726649,132.2419749,144.9890783,21.41641341,161.8526837,212.0648312,0.814827421,60.94843091,0.287404708
SCHD-TLT,7,3,7.394104512,9.113583201,81.92118037,97.92748296,109.5217898,134.1975641,36.27008116,186.5295621,845.6463921,0.811327921,104.6083817,0.123702274
QQQ-SCHD,0,10,9.926673215,12.25656611,125.4650148,146.3024351,157.7945009,200.2639978,53.96156268,250.303295,1233.820818,0.809906553,124.8382802,0.101180235
SCHD-SPY,10,0,9.926673215,12.25656611,125.4650148,146.3024351,157.7945009,200.2639978,53.96156268,250.303295,1233.820818,0.809906553,124.8382802,0.101180235
SCHD-TLT,10,0,9.926673215,12.25656611,125.4650148,146.3024351,157.7945009,200.2639978,53.96156268,250.303295,1233.820818,0.809906553,124.8382802,0.101180235
SCHD-GLD,10,0,9.926673215,12.25656611,125.4650148,146.3024351,157.7945009,200.2639978,53.96156268,250.303295,1233.820818,0.809906553,124.8382802,0.101180235
SPY-GLD,10,0,10.89508196,13.63207217,85.32601721,114.0577439,225.9958519,257.098598,143.0408541,362.3048006,5957.240677,0.799224199,276.9787833,0.046494476
SCHD-GLD,6,4,7.932587817,10.24009506,81.29135216,108.4863021,116.7736131,133.5095519,25.02324981,163.5754288,355.0239566,0.774659588,82.28407664,0.231770491
SPY-GLD,2,8,10.21302791,13.2303607,18.26179301,60.50168864,77.66964536,107.2661287,46.76444003,185.6264835,1532.113883,0.771938736,167.3646905,0.109237761
SCHD-TLT,6,4,6.540742895,8.592874835,66.9069387,82.70862939,94.00620603,114.3826357,31.67400629,166.6032326,755.4756692,0.761182145,99.69629394,0.13196493
QQQ-GLD,1,9,10.59201549,14.54762029,7.559149856,51.51228501,67.64008464,107.6669983,56.15471328,201.0280311,2105.228033,0.728092656,193.4688812,0.091899252
SCHD-GLD,5,5,7.443776191,10.44722102,62.94282732,90.0838132,101.1376283,120.7489831,30.66516985,164.3239035,633.1391085,0.71251256,101.3810762,0.160124489
SPY-TLT,3,7,6.423179785,9.184671055,32.43753794,92.52859363,111.2274297,127.7264365,35.19784283,172.626483,1206.823324,0.699336944,140.188945,0.116163603
SPY-GLD,1,9,10.1107768,14.54175331,3.371081008,44.5358404,60.16327282,97.28316188,52.74732147,189.1303494,1939.903702,0.695292829,185.7592683,0.095756953
QQQ-SPY,8,2,12.98329072,18.76376326,-48.6765324,150.3039698,200.9875602,381.9807788,231.6768091,607.3246894,28210.42161,0.691934264,656.0012218,0.023253861
QQQ-SPY,7,3,12.47151029,18.02552996,-44.96249158,143.9078086,187.770616,364.0356665,220.1278579,571.0330973,24956.1717,0.691880367,615.9955889,0.024683096
QQQ-SPY,9,1,13.50748447,19.52593713,-52.53738336,155.6842657,214.6208933,403.1239817,247.439716,645.2483321,31829.03447,0.69177138,697.7857154,0.021922931
QQQ-SPY,10,0,14.04474956,20.30950136,-56.85738518,160.986297,228.6726473,427.4955848,266.5092878,684.8576673,35845.01918,0.691535913,741.7150525,0.020692277
QQQ-SPY,6,4,11.97147376,17.31433298,-41.15773306,137.8176997,175.0982191,345.3599086,207.542209,536.3206171,22035.57849,0.691419864,577.4783502,0.026206634
QQQ-SPY,5,5,11.48250096,16.63400418,-37.27701672,131.7551325,162.6999214,327.9407788,196.1856463,503.1350637,19420.08653,0.690302878,540.4120804,0.027827481
QQQ-SPY,4,6,11.00390171,15.98937499,-33.33648517,124.1642648,151.8217885,308.6405856,184.4763208,471.4250522,17083.15021,0.688200866,504.7615374,0.029547334
QQQ-SPY,3,7,10.53497655,15.38661915,-29.3535781,117.6383575,141.6814806,288.1714719,170.5331144,441.1400403,15000.10328,0.684684299,470.4936184,0.031366025
QQQ-SPY,2,8,10.07501764,14.83363789,-27.47037324,108.6353645,132.992587,270.9438148,162.3084503,412.2303668,13148.03821,0.679200727,439.70074,0.033442308
SCHD-TLT,5,5,5.68277077,8.410068478,51.01869231,66.79139642,78.80508921,93.14673954,26.35534311,147.9412482,677.1482527,0.675710404,96.92255589,0.143133436
QQQ-SPY,1,9,9.623309581,14.34034669,-26.97427483,101.0855087,124.5543142,252.3030242,151.2175155,384.7778621,11505.69498,0.671065337,411.7521369,0.035786811
QQQ-TLT,2,8,6.824650546,10.20889385,24.18949032,97.07890467,123.3526367,142.9345204,45.85561572,190.0500406,1716.319599,0.66850049,165.8605503,0.096637334
QQQ-SPY,0,10,9.179130331,13.91854366,-26.77387872,92.9746679,116.2707383,236.4801189,143.505451,362.3048006,10053.35839,0.65948928,389.0786793,0.038701364
TLT-GLD,3,7,8.230234853,12.67423994,-4.472155803,41.65078226,59.5728367,92.13731666,50.4865344,183.094457,1631.13919,0.649367133,187.5666128,0.114991175
TLT-GLD,2,8,8.818298251,13.6462699,-5.764172612,37.7057652,54.99381111,92.97525336,55.26948816,187.5891293,1793.358739,0.646205763,193.3533019,0.107816299
TLT-GLD,4,6,7.64454705,11.89402157,-3.389794486,42.13555397,63.49083331,92.35677596,50.22122199,177.2981262,1531.908972,0.642721808,180.6879207,0.117949515
TLT-GLD,1,9,9.408866053,14.77293835,-7.727398543,35.19322664,48.89525854,93.35034266,58.15711602,190.7086378,2025.548214,0.636898756,198.4360363,0.097966583
SCHD-GLD,4,6,6.957143042,10.96171607,45.86740731,72.49522627,84.82192443,113.5502464,41.0550201,164.0894621,994.016039,0.63467645,118.2220548,0.11893375
QQQ-GLD,0,10,10.00206645,16.02349702,-10.01803554,29.62647995,44.11304166,88.88523063,59.25875068,192.3969526,2335.60701,0.624212457,202.4149881,0.086664832
SPY-GLD,0,10,10.00206645,16.02349702,-10.01803554,29.62647995,44.11304166,88.88523063,59.25875068,192.3969526,2335.60701,0.624212457,202.4149881,0.086664832
TLT-GLD,0,10,10.00206645,16.02349702,-10.01803554,29.62647995,44.11304166,88.88523063,59.25875068,192.3969526,2335.60701,0.624212457,202.4149881,0.086664832
TLT-GLD,5,5,7.061105568,11.34823383,-2.523932828,36.95506171,62.16293125,95.70505923,58.74999752,170.2893591,1489.544587,0.622220662,172.8132919,0.116017535
TLT-GLD,6,4,6.479780815,11.07962231,-1.880017142,35.81080569,67.83515945,97.80970022,61.99889452,162.171061,1498.67076,0.584837699,164.0510782,0.109464388
SPY-TLT,2,8,5.780080267,10.20067479,13.13540353,78.05595664,102.8312584,122.0303847,43.97442803,161.3926949,1372.759165,0.56663705,148.2572914,0.107999491
SCHD-TLT,4,6,4.820210326,8.580281552,34.60786212,51.4068685,62.75758725,73.01182323,21.60495473,129.658563,607.5756943,0.561777641,95.05070091,0.156442566
SCHD-GLD,3,7,6.471869484,11.76617071,30.05880501,55.07354554,71.28603163,105.7966302,50.72308462,166.5226921,1393.663076,0.55004042,136.4638871,0.097917416
TLT-GLD,7,3,5.900443016,11.11990529,-1.462041272,28.20915108,72.42232029,100.2501176,72.04096655,153.0575709,1554.516651,0.530619898,154.5196121,0.099400423
QQQ-TLT,1,9,5.670399568,11.42289179,0.913839736,68.70842683,104.7361222,120.9249428,52.21651598,166.1108861,1756.972553,0.496406661,165.1970463,0.094023692
SCHD-GLD,2,8,5.98715686,12.82585626,15.49742658,38.72720884,60.34747984,97.56482785,58.837619,167.9616178,1796.451645,0.466803677,152.4641912,0.084869633
TLT-GLD,8,2,5.322962353,11.47633322,-1.272507134,22.73259521,76.40510432,101.2696074,78.53701224,143.0722558,1652.750523,0.463820826,144.3447629,0.087336087
SPY-TLT,1,9,5.155170887,11.49885849,-3.714527825,59.79684129,95.66836683,110.3538712,50.5570299,152.9469269,1582.774826,0.44832023,156.6614547,0.098978991
SCHD-TLT,3,7,3.953107433,9.08855902,19.50293818,38.11683443,49.2732685,58.90001156,20.78317713,111.8729851,544.5469865,0.434954257,92.37004697,0.169627322
TLT-GLD,9,1,4.7472091,12.12275833,-9.334147144,17.92992492,82.76505915,101.0725104,83.14258549,136.4461478,1789.306471,0.391594798,145.7802949,0.081473072
SCHD-GLD,1,9,5.502227218,14.09462378,2.152126133,23.35770025,50.19488681,88.93373028,65.57603003,168.3593441,2174.765813,0.390377729,166.207218,0.076425341
QQQ-TLT,0,10,4.549093014,12.9745932,-18.36128894,42.74695447,88.49845151,101.354406,58.60745149,144.8568374,1800.736321,0.350615464,163.2181264,0.090639659
SPY-TLT,0,10,4.549093014,12.9745932,-18.36128894,42.74695447,88.49845151,101.354406,58.60745149,144.8568374,1800.736321,0.350615464,163.2181264,0.090639659
SCHD-GLD,0,10,5.016323743,15.52587601,-10.01803554,9.107567054,39.32323163,79.98324932,70.87568226,167.7095142,2508.411324,0.32309441,177.7275497,0.070852634
TLT-GLD,10,0,4.173053744,13.00851956,-18.36128894,15.77886642,83.36860009,100.3804769,84.60161051,144.8568374,1960.216252,0.320793902,163.2181264,0.083265367
SCHD-TLT,2,8,3.08153097,9.894134041,5.670598616,25.66800819,34.86939205,43.71639996,18.04839177,94.68602401,486.5751247,0.311450295,89.01542539,0.18294282
SCHD-TLT,1,9,2.205572119,10.93256587,-6.933221702,12.49785187,22.08896585,29.79509687,17.29724499,78.76703111,432.7402702,0.201743319,85.70025281,0.198040854
SCHD-TLT,0,10,1.325343661,12.13681149,-18.36128894,1.232921064,10.11319153,15.83559239,14.60267132,63.67872853,382.5411094,0.109200317,82.04001747,0.214460656
