Portfolio,Annualized Return (%),Annualized Volatility (%)
1,11.22744442417403,14.092577248689958
2,11.271411280683306,14.855747047810757
3,11.321610039371835,15.81567785195256
4,9.353692988726635,11.039571818698318
5,10.089751452004034,11.803133565021149
6,6.734175307389949,6.977103998025467
7,7.20716760126751,7.814159850973837
8,7.352809596641545,8.063324383247803
9,5.630455049995931,6.1095516519038755
10,5.870241206718008,7.100091762439511
11,7.506515638950503,8.69868482747754
12,6.683225404324873,7.14471219257755
13,8.005545725372954,8.709753448706104
14,7.967956707223364,9.96616095221045
15,8.335947421402512,10.020251480844362
16,8.675004263783885,11.118637429799325
17,8.973908809571371,11.075433430510497
18,10.459340595345285,12.264483422037875
19,8.180158279089603,10.929805942200735
20,9.407780435905206,12.323898989695964
21,9.632555852575447,12.175844199133564
22,11.02738850956694,13.227883668945145
23,9.159255572684557,12.201015942290104
24,10.167643507565916,13.576135688891464
25,10.312839623380329,13.314656847643185
26,10.720002074813696,15.074294386225674
27,10.18342022115945,13.775824188317895
28,10.955930417519287,14.869254409248772
29,11.015697368335479,14.485876751055649
30,5.847087966533037,6.1902080799604535
31,6.039258562445945,6.906835419670221
32,6.065638383531584,6.323591993582263
33,6.209983209548899,6.79118550967787
34,6.286087530943011,6.504337781211931
35,6.382435407199302,6.762729191804285
36,8.08112093618927,8.845335940117186
37,6.508415980738228,6.724351573330551
38,6.556635441304248,6.824326626160978
39,6.463030998788108,6.718503147567764
40,6.215301522473048,7.894913165153904
41,10.168481123548426,12.937669886311069
42,8.424296227626705,9.44276847461477
43,6.732603642655312,6.9778147656477065
44,9.285739057212476,10.967583115864247
45,9.391082006581295,11.24232680689019
46,9.529371258643165,11.352768023252503
47,9.657954717913206,11.980307078576551
48,9.94166133458737,12.011417701097589
49,9.930108027002643,12.783707203344457
50,10.36194928981373,12.68891516359962
51,10.207863774180732,13.643384019013952
52,10.790467006914598,13.383231406562373
53,10.491541875817735,14.550992780179786
54,9.288668426123646,10.954129396415805
55,8.753471089686855,9.762954738227489
56,6.763930726380964,7.318919468902287
57,7.209425538085775,7.868443252449471
58,7.846301419499728,9.487178716645788
59,9.07223796303825,11.626116254470606
60,9.476853940931031,12.273300531272314
61,7.573234488022866,10.12828855209011
62,8.68654393988922,10.24774026238238
63,8.52394842422295,11.702877249980606
64,9.008949217989736,12.518469676479999
65,9.500092014478518,13.351757776915324
66,9.99714737821931,14.201667856677268
