Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1998-02-28,0.027212052501191672,0.027156616692684026,0.03532646897149864,0.03773792664158132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0692947606345599,0.062365284571103914,0.05543580850764793,0.048506332444191926,0.0,0.0,0.0,0.03464738031727995
1998-03-31,0.019157237779010024,0.019118211065938452,0.02486977290486201,0.026567434923475578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0487833913394704,0.04390505220552336,0.03902671307157632,0.034148373937629276,0.0,0.0,0.0,0.0243916956697352
1998-04-30,0.005023207371082955,0.00501297420098653,0.0065210876439472645,0.006966230543141781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0127914626205321,0.01151231635847889,0.01023317009642568,0.008954023834372469,0.0,0.0,0.0,0.00639573131026605
1998-05-31,-0.008156000865766429,-0.008139385636093364,-0.010588055109161514,-0.011310817599939897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0207690370913329,-0.018692133382199612,-0.01661522967306632,-0.014538325963933028,0.0,0.0,0.0,-0.01038451854566645
1998-06-30,0.016718545886675394,0.016684487224313947,0.02170388258983223,0.02318543440255518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042573327951809,0.038315995156628105,0.0340586623614472,0.0298013295662663,0.0,0.0,0.0,0.0212866639759045
1998-07-31,-0.005306802537693103,-0.005295991633618353,-0.006889248621634693,-0.007359522948886335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013513630093438,-0.012162267084094201,-0.010810904074750402,-0.0094595410654066,0.0,0.0,0.0,-0.006756815046719
1998-08-31,-0.055441130760119035,-0.05532818728008824,-0.0719732326496274,-0.0768862740309672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1411793500385002,-0.12706141503465018,-0.11294348003080018,-0.09882554502695014,0.0,0.0,0.0,-0.0705896750192501
1998-09-30,0.024991205528276585,0.0249402939814912,0.03244338318898753,0.03465803547415184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0636394334817331,0.05727549013355979,0.05091154678538648,0.04454760343721316,0.0,0.0,0.0,0.03181971674086655
1998-10-31,0.03184039701964814,0.03177553244716095,0.0413349488174602,0.04415655772065285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0810807156089843,0.07297264404808587,0.06486457248718745,0.05675650092628901,0.0,0.0,0.0,0.04054035780449215
1998-11-30,0.02186637354105505,0.021821827834834415,0.028386751289100752,0.030324489509698446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0556821327757959,0.050113919498216315,0.04454570622063672,0.03897749294305713,0.0,0.0,0.0,0.02784106638789795
1998-12-31,0.025691363823004264,0.025639025928788826,0.03335232308878935,0.035629021487160996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0654223677693004,0.058880130992370355,0.05233789421544032,0.04579565743851027,0.0,0.0,0.0,0.0327111838846502
1999-01-31,0.01383283738379567,0.01380465742477597,0.017957678885304387,0.01918350710266137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0352249487746261,0.03170245389716349,0.02817995901970088,0.024657464142238267,0.0,0.0,0.0,0.01761247438731305
1999-02-28,-0.012593249750449157,-0.012567595052714603,-0.016348456131344488,-0.01746443548279758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0320683721681924,-0.028861534951373162,-0.025654697734553922,-0.02244786051773468,0.0,0.0,0.0,-0.0160341860840962
1999-03-31,0.016284383566944782,0.016251209370729974,0.021140256537887574,0.0225833340732318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0414677452685123,0.037320970741661075,0.03317419621480985,0.02902742168795861,0.0,0.0,0.0,0.02073387263425615
1999-04-30,0.014912721044932766,0.015096752087052879,0.022420886644510248,0.03153029216995669,0.0238234352139077,0.02144109169251693,0.019058748171126162,0.01667640464973539,0.01667640464973539,0.01429406112834462,0.01191171760695385,0.0379748435063223,0.03417735915569007,0.03037987480505784,0.026582390454425606,0.01667640464973539,0.01429406112834462,0.01191171760695385,0.01898742175316115
1999-05-31,-0.008979381354222857,-0.009243808481568033,-0.01569357055467708,-0.026758307634062284,-0.0314133033392264,-0.02827197300530376,-0.025130642671381122,-0.02198931233745848,-0.02198931233745848,-0.01884798200353584,-0.0157066516696132,-0.0228657533848303,-0.02057917804634727,-0.01829260270786424,-0.01600602736938121,-0.02198931233745848,-0.01884798200353584,-0.0157066516696132,-0.01143287669241515
1999-06-30,0.021746841820885595,0.022670101897233914,0.04204621531603411,0.0791173729331606,0.1075069194575144,0.09675622751176295,0.08600553556601152,0.07525484362026007,0.07525484362026007,0.06450415167450864,0.0537534597287572,0.0553777484616389,0.04983997361547501,0.04430219876931112,0.038764423923147225,0.07525484362026007,0.06450415167450864,0.0537534597287572,0.02768887423081945
1999-07-31,-0.012182061819157358,-0.012318307194319643,-0.018114268540541986,-0.025043954178150633,-0.0178958232978396,-0.01610624096805564,-0.01431665863827168,-0.012527076308487718,-0.012527076308487718,-0.01073749397870376,-0.0089479116489198,-0.0310212931478415,-0.027919163833057353,-0.024817034518273204,-0.021714905203489048,-0.012527076308487718,-0.01073749397870376,-0.0089479116489198,-0.01551064657392075
