Date,Defensive_1,Defensive_2,Defensive_3,Defensive_4,Defensive_5,Defensive_6,Defensive_7,Defensive_8,Defensive_9,Defensive_10,Defensive_11,Defensive_12,Defensive_13,Defensive_14,Defensive_15,Defensive_16,Defensive_17,Defensive_18,Defensive_19,Defensive_20
1998-02-28,0.016693107836865482,0.01722667749375159,0.01733061963470343,0.01722667749375159,0.017871118767653,0.01381044579446779,0.01381044579446779,0.017871118767653,0.017871118767653,0.0,0.01733061963470343,0.017871118767653,0.017871118767653,0.017871118767653,0.01381044579446779,0.01381044579446779,0.01722667749375159,0.01733061963470343,0.01722667749375159,0.01381044579446779
1998-03-31,0.01175191897367842,0.01212755108699234,0.012200726174001546,0.01212755108699234,0.012581236626449417,0.009722529893956451,0.009722529893956451,0.012581236626449417,0.012581236626449417,0.0,0.012200726174001546,0.012581236626449417,0.012581236626449417,0.012581236626449417,0.009722529893956451,0.009722529893956451,0.01212755108699234,0.012200726174001546,0.01212755108699234,0.009722529893956451
1998-04-30,0.003081463345286183,0.00317995760746428,0.003199144801395078,0.00317995760746428,0.0032989182098352287,0.0025493385002720477,0.0025493385002720477,0.0032989182098352287,0.0032989182098352287,0.0,0.003199144801395078,0.0032989182098352287,0.0032989182098352287,0.0032989182098352287,0.0025493385002720477,0.0025493385002720477,0.00317995760746428,0.003199144801395078,0.00317995760746428,0.0025493385002720477
1998-05-31,-0.005003261035302096,-0.005163182620905359,-0.005194336176542358,-0.005163182620905359,-0.005356334665854755,-0.004139269092302647,-0.004139269092302647,-0.005356334665854755,-0.005356334665854755,0.0,-0.005194336176542358,-0.005356334665854755,-0.005356334665854755,-0.005356334665854755,-0.004139269092302647,-0.004139269092302647,-0.005163182620905359,-0.005194336176542358,-0.005163182620905359,-0.004139269092302647
1998-06-30,0.010255914703590788,0.010583729328819716,0.010647589320747431,0.010583729328819716,0.010979661278771542,0.008484864260795534,0.008484864260795534,0.010979661278771542,0.010979661278771542,0.0,0.010647589320747431,0.010979661278771542,0.010979661278771542,0.010979661278771542,0.008484864260795534,0.008484864260795534,0.010583729328819716,0.010647589320747431,0.010583729328819716,0.008484864260795534
1998-07-31,-0.0032554334895092143,-0.0033594884412286867,-0.003379758886368844,-0.0033594884412286867,-0.003485165201097661,-0.0026932664776221937,-0.0026932664776221937,-0.003485165201097661,-0.003485165201097661,0.0,-0.003379758886368844,-0.003485165201097661,-0.003485165201097661,-0.003485165201097661,-0.0026932664776221937,-0.0026932664776221937,-0.0033594884412286867,-0.003379758886368844,-0.0033594884412286867,-0.0026932664776221937
1998-08-31,-0.034010105424274704,-0.03509718641957115,-0.0353089554446289,-0.03509718641957115,-0.036410154374929206,-0.028137044462673094,-0.028137044462673094,-0.036410154374929206,-0.036410154374929206,0.0,-0.0353089554446289,-0.036410154374929206,-0.036410154374929206,-0.036410154374929206,-0.028137044462673094,-0.028137044462673094,-0.03509718641957115,-0.0353089554446289,-0.03509718641957115,-0.028137044462673094
1998-09-30,0.015330739525749502,0.015820763163558845,0.015916222313781446,0.015820763163558845,0.016412609894938965,0.012683339092909406,0.012683339092909406,0.016412609894938965,0.016412609894938965,0.0,0.015916222313781446,0.016412609894938965,0.016412609894938965,0.016412609894938965,0.012683339092909406,0.012683339092909406,0.015820763163558845,0.015916222313781446,0.015820763163558845,0.012683339092909406
1998-10-31,0.01953234439020432,0.020156665900393497,0.020278286973806972,0.020156665900393497,0.020910716555557055,0.01615938662087057,0.01615938662087057,0.020910716555557055,0.020910716555557055,0.0,0.020278286973806972,0.020910716555557055,0.020910716555557055,0.020910716555557055,0.01615938662087057,0.01615938662087057,0.020156665900393497,0.020278286973806972,0.020156665900393497,0.01615938662087057
1998-11-30,0.013413825785689233,0.01384257820806286,0.013926101407226554,0.01384257820806286,0.014360422042877763,0.011097449062216123,0.011097449062216123,0.014360422042877763,0.014360422042877763,0.0,0.013926101407226554,0.014360422042877763,0.014360422042877763,0.014360422042877763,0.011097449062216123,0.011097449062216123,0.01384257820806286,0.013926101407226554,0.01384257820806286,0.011097449062216123
1998-12-31,0.015760248395624465,0.016264000627448077,0.01636213417910203,0.016264000627448077,0.016872428647702574,0.01303867789642157,0.01303867789642157,0.016872428647702574,0.016872428647702574,0.0,0.01636213417910203,0.016872428647702574,0.016872428647702574,0.016872428647702574,0.01303867789642157,0.01303867789642157,0.016264000627448077,0.01636213417910203,0.016264000627448077,0.01303867789642157
